bggid;name;rank;min_players;max_players;min_playtime;max_playtime;thumbnail;image
421;1830: Railways & Robber Barons;190;2;7;180;360;https://cf.geekdo-images.com/3EmD1SEI5fVpR4rbdkU0AA__thumb/img/v_GuoUgKbMTvzcRkTcH6aOH9wWs=/fit-in/200x150/filters:strip_icc()/pic882119.jpg;https://cf.geekdo-images.com/3EmD1SEI5fVpR4rbdkU0AA__original/img/cUZaArfHWQol8cYWY_Z4PaMPyC0=/0x0/pic882119.jpg
56257;1886 Loures;;2;6;30;40;https://cf.geekdo-images.com/2eDT8qiYcnTheJab6cQ8dA__thumb/img/BDOnR0lnbcglvxjEkInC5bs-ulY=/fit-in/200x150/filters:strip_icc()/pic557792.jpg;https://cf.geekdo-images.com/2eDT8qiYcnTheJab6cQ8dA__original/img/3-d85HhSNIznvCWc3InH0CSYvNg=/0x0/pic557792.jpg
250621;18Lilliput;2127;1;4;60;90;https://cf.geekdo-images.com/9uH76qr1SXvqoHcmkhb3Gw__thumb/img/hH_LkG15LQc8Z20Jii418njxQsU=/fit-in/200x150/filters:strip_icc()/pic4074251.jpg;https://cf.geekdo-images.com/9uH76qr1SXvqoHcmkhb3Gw__original/img/HJsRFUHiEhrjl9rPu9OpbX6vkh8=/0x0/pic4074251.jpg
257668;1906 San Francisco;2905;2;4;45;60;https://cf.geekdo-images.com/EqM5aQcfwgixrIyQ6F3Zvg__thumb/img/HvWKD8jJzzMa2fOYUL3w2RN1exw=/fit-in/200x150/filters:strip_icc()/pic4256174.jpg;https://cf.geekdo-images.com/EqM5aQcfwgixrIyQ6F3Zvg__original/img/zF_M2BzDJPLcQSaVK5thTS8TsFg=/0x0/pic4256174.jpg
279306;1987 Channel Tunnel;3604;2;2;45;45;https://cf.geekdo-images.com/KUZAIwhKn-gR7gKkunvDNg__thumb/img/7HaCV_GBTz0xJZYlzn_eFjrTXmg=/fit-in/200x150/filters:strip_icc()/pic4741327.jpg;https://cf.geekdo-images.com/KUZAIwhKn-gR7gKkunvDNg__original/img/5qI9UjDHRxvMOuIPBtiZu5MK-p4=/0x0/pic4741327.jpg
68448;7 Wonders;58;2;7;30;30;https://cf.geekdo-images.com/RvFVTEpnbb4NM7k0IF8V7A__thumb/img/ZlG_SRFChObHenw79fAve56_mnk=/fit-in/200x150/filters:strip_icc()/pic860217.jpg;https://cf.geekdo-images.com/RvFVTEpnbb4NM7k0IF8V7A__original/img/3DP_RW5lTX0WrV67s8qi8CsiXoQ=/0x0/pic860217.jpg
204592;The Mysterious Forest;8372;2;4;10;25;https://cf.geekdo-images.com/FAdF7OrAyVM6RlkwBiWyzw__thumb/img/bdptLvMzR46OjLEQJ2jMug28x44=/fit-in/200x150/filters:strip_icc()/pic3147263.jpg;https://cf.geekdo-images.com/FAdF7OrAyVM6RlkwBiWyzw__original/img/I4EaJ9dyXULnSn5gTMGA5hv6PZQ=/0x0/pic3147263.jpg
194880;Dream Home;904;2;4;30;30;https://cf.geekdo-images.com/CtVH__gM0TBISzOzV3OeFQ__thumb/img/2aOcQ_RKw7fJYJTTdWrFHIk6coE=/fit-in/200x150/filters:strip_icc()/pic3176771.jpg;https://cf.geekdo-images.com/CtVH__gM0TBISzOzV3OeFQ__original/img/NdQkTY4E5yivlVRkZvtKDO5tpxg=/0x0/pic3176771.jpg
257077;A Pleasant Journey to Neko;4857;2;4;45;90;https://cf.geekdo-images.com/gakG4FEJdfaqURSbybTdHg__thumb/img/u2l41coertqzk9lIFi6FDpgpdik=/fit-in/200x150/filters:strip_icc()/pic4296635.jpg;https://cf.geekdo-images.com/gakG4FEJdfaqURSbybTdHg__original/img/PSCDWB5BhwehPTXSQFDTgY4Fjqo=/0x0/pic4296635.jpg
130792;The Enchanted Tower;2564;2;4;15;25;https://cf.geekdo-images.com/ob-HUZ7U0MS9mBwUmcE4tQ__thumb/img/yZMnlLp8UogJJwLTFbjrUMsif7g=/fit-in/200x150/filters:strip_icc()/pic2303487.jpg;https://cf.geekdo-images.com/ob-HUZ7U0MS9mBwUmcE4tQ__original/img/uxrNeU3ic0QsEJdvVSm0C_l6_F0=/0x0/pic2303487.jpg
230085;Agra;987;2;4;90;120;https://cf.geekdo-images.com/cb8ydtRuQ-SADwD35oHX9w__thumb/img/wYEIi8jZ2AYZjH4ccv7uSld86L0=/fit-in/200x150/filters:strip_icc()/pic3621105.jpg;https://cf.geekdo-images.com/cb8ydtRuQ-SADwD35oHX9w__original/img/SKGMjesCBZc-o_My_RPRbeNbtM0=/0x0/pic3621105.jpg
