bggid;owners;
37371;andrade;
421;leiriacon;
56257;leiriacon;
250621;leiriacon;
257668;leiriacon;
279307;carlos;
27708;costa;
279306;leiriacon;
274548;costa;
432;dominguez;
68448;leiriacon;
173346;costa;
177736;soledade;
204592;bdl,leiriacon;
103343;bdl;
217;dominguez;
194880;leiriacon;
194880;bdl;
257077;leiriacon;
130792;leiriacon,leiriacon;
12005;andrade;
5;wyg;
22545;soledade;
4098;soledade;
230085;leiriacon;
31260;costa;
205418;bdl;
103327;bdl;
90419;sentieiro;
256442;leiriacon;
161970;andrade;
6249;leiriacon;
42470;leiriacon;
192032;leiriacon;
2651;leiriacon;
5404;leiriacon;
232303;leiriacon;
19600;leiriacon;
104955;costa;
13122;leiriacon;
159508;leiriacon;
140934;costa;
236457;wyg;
154825;soledade;
246150;sentieiro,leiriacon;
198287;leiriacon;
203410;bdl,leiriacon;
131118;leiriacon;
245325;leiriacon;
2570;costa;
39351;leiriacon;
231581;soledade;
230802;bdl,leiriacon;
256226;leiriacon;
266164;leiriacon;
251247;leiriacon;
760;leiriacon;
28723;leiriacon;
168435;costa;
134068;leiriacon;
148282;leiriacon;
262215;soledade;
170216;leiriacon;
244331;costa;
274688;leiriacon;
38981;bdl;
11;leiriacon;
11;costa;
230852;sentieiro;
127060;andrade;
28720;leiriacon;
188343;leiriacon;
136888;soledade;
275913;leiriacon;
552;leiriacon;
38032;bdl;
155362;bdl;
60954;leiriacon;
171499;bdl;
136440;andrade;
255455;leiriacon;
72131;leiriacon,leiriacon;
822;andrade,dominguez;
245934;leiriacon;
39938;sentieiro;
826;bdl;
25823;costa;
155426;costa;
13;bdl,rola;
125921;bdl;
102794;dominguez;
18602;leiriacon;
175117;bdl;
209685;bdl,wyg;
31730;andrade;
3570;bdl;
47;wyg;
169318;bdl;
169318;leiriacon;
214880;leiriacon;
201808;wyg;
216132;leiriacon;
72225;leiriacon;
143515;rola,andrade;
178900;dominguez,bdl;
245638;rola;
264982;wyg;
5782;dominguez;
158899;rola;
124361;leiriacon;
26990;soledade;
269511;costa;
269511;wyg;
269595;leiriacon;
269725;wyg;
204027;bdl;
131357;bdl;
8172;rola;
521;sentieiro;
256570;wyg;
280480;fabio.ferreira;
30380;rola;
54998;wyg;
168900;leiriacon;
234920;leiriacon;
169654;rola;
194594;bdl;
230267;leiriacon;
260239;leiriacon;
1;sentieiro;
156719;bdl;
39856;bdl;
39856;dominguez;
92828;andrade;
63268;bdl;
125675;bdl,leiriacon;
199793;bdl;
62219;wyg;
260330;leiriacon;
256380;bdl,leiriacon;
215311;leiriacon;
205080;leiriacon;
45315;wyg;
97207;wyg;
503;leiriacon;
257378;leiriacon;
72125;soledade;
58421;wyg;
131366;bdl;
41916;leiriacon;
286431;leiriacon;
68425;bdl;
